instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1,state,county,v_tier,v_ipeds_enrollment_2013,v_sticker_price_2013,v_sat_avg_2013,v_scorecard_netprice_2013,v_black_share_fall_2000,v_hisp_share_fall_2000,v_pct_arthuman_2000,v_pct_business_2000,v_pct_health_2000,v_pct_multidisci_2000,v_pct_publicsocial_2000,v_pct_stem_2000,v_pct_socialscience_2000,v_pct_tradepersonal_2000,_merge
A Better U Beauty Barber Academy,Albuquerque,NM,87110,35.11063,-106.583765,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,13388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87110,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
A T Still University of Health Sciences,Kirksville,MO,63501,40.193648,-92.589183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,66836.27,NULL,3995,63501,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ABC Adult School,Cerritos,CA,90703-2801,33.878179,-118.070114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,195,7377,NULL,5467,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90703,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ABC Adult School - Cabrillo Lane,Cerritos,CA,90703-7748,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90703,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ABC Beauty Academy,Richardson,TX,75081,32.931698,-96.685333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,2804,2785,2688,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,17179,NULL,75081,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ABCO Technology,Inglewood,CA,90304-1551,33.932121,-118.369774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,NULL,NULL,NULL,NULL,NULL,15346,16291,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2244897959,PrivacySuppressed,21244.734694,NULL,NULL,NULL,90304,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
AI Miami International University of Art and Design,Miami,FL,33132-1418,25.790008,-80.18839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,820,NULL,NULL,NULL,NULL,NULL,19746,18671,21299,23114,27094,27974,0.2519,29453,13831,16500,13250,0.5718038529,0.1068301226,32373.511384,57565.03,26984,60,33132,1.53531,,1.64407,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
AMG School of Nursing,Brooklyn,NY,11201-1728,40.692794,-73.982035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,258,NULL,NULL,NULL,NULL,NULL,37507,37507,NULL,NULL,NULL,NULL,NULL,14167,11834,PrivacySuppressed,PrivacySuppressed,0.8661710037,0.2156133829,28614.546468,NULL,NULL,NULL,11201,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
AOMA Graduate School of Integrative Medicine,Austin,TX,78745,30.228551,-97.800643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,78343.77,NULL,135,78745,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ASA College,Brooklyn,NY,11201-9805,40.691464,-73.986076,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2961,NULL,NULL,NULL,NULL,NULL,25743,26265,28294,31185,31648,32791,0.2869,15512,9500,9500,9500,0.6274220336,0.2251337885,16961.678723,42531.54,26837,NULL,11201,.83421999,,.92905003,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
ASI Career Institute,Turnersville,NJ,08012-1043,39.756604,-75.045442,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,10626,11181,10183,NULL,NULL,NULL,NULL,PrivacySuppressed,6333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1440677966,23493.169492,NULL,NULL,NULL,8012,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ASPIRA City College,Philadelphia,PA,19140-2302,40.017493,-75.135042,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,11862,NULL,NULL,NULL,NULL,16307,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5471698113,PrivacySuppressed,13326.528302,36313.09,26012,NULL,19140,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ATA Career Education,Spring Hill,FL,34606,28.452699,-82.595376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,230,NULL,NULL,NULL,NULL,NULL,24196,25811,27184,NULL,NULL,29034,NULL,17645,14000,14578,13000,0.9415254237,0.1779661017,22343.249153,45494.53,27647,NULL,34606,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ATA College,Louisville,KY,40223,38.223667,-85.563365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,NULL,NULL,NULL,NULL,NULL,24812,24514,25872,28126,28387,28675,NULL,17645,14000,14578,13000,0.9415254237,0.1779661017,22343.249153,NULL,27647,NULL,40223,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
