instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1
A T Still University of Health Sciences,Kirksville,MO,63501,40.193648,-92.589183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,66836.27,NULL,3995,63501,,,,,master only (1)
Abilene Christian University,Abilene,TX,79699,32.468943,-99.709797,0.634,565,550,24,24,22,7,1150,3480,NULL,NULL,NULL,NULL,NULL,24400,24708,28897,27592,32006,51577,0.6598,24000,12000,15750,17000,0.6118200134,0.0127602418,81718.865682,67136.19,41565,1797,79699,1.75711,1.5681601,1.8752,1.64156,matched (3)
Abraham Baldwin Agricultural College,Tifton,GA,31793-2601,31.481889,-83.528281,0.7599,515,485,19,17,18,NULL,1000,3546,5064,5857,9086,11023,10923,NULL,NULL,NULL,NULL,NULL,13361,0.2915,17500,9500,8750,8750,0.5739705135,0.0630401627,49275.831215,46480.92,27009,NULL,31793,.98609,1.0874,1.23321,1.18671,matched (3)
Academy for Five Element Acupuncture,Gainesville,FL,32601,29.650075,-82.321994,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,91,32601,,,,,master only (1)
Academy for Jewish Religion-California,Los Angeles,CA,90024,34.070281,-118.438495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,90024,,,,,master only (1)
Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,37.805972,-122.269839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,97,94612,,,,,master only (1)
Academy of Vocal Arts,Philadelphia,PA,19103-6685,39.94796,-75.173735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,24,19103,,,,,master only (1)
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,94704,37.862754,-122.267636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,99,94704,,,,,master only (1)
Adams State University,Alamosa,CO,81101,37.473636,-105.879642,0.9988,500,490,20,19,19,NULL,1004,1612,9864,10301,13688,18159,19693,NULL,NULL,NULL,NULL,NULL,22317,0.3214,21500,12500,9970,12000,0.4890829694,0.0733624454,48770.020087,50726.71,32729,1262,81101,1.40342,.91826999,1.54843,1.09346,matched (3)
Adelphi University,Garden City,NY,11530-0701,40.721439,-73.653321,0.7461,575,580,24,24,24,8,1162,5076,NULL,NULL,NULL,NULL,NULL,26732,26637,29510,30789,33219,53535,0.7258,25000,20500,21500,19086,0.7211120765,0.0421372719,77136.406603,80864.95,56611,2460,11530,1.8583699,1.45375,1.89426,1.5367,matched (3)
Adler Graduate School,Minnetonka,MN,55343,44.893479,-93.410236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,267,55343,,,,,master only (1)
Adler University,Chicago,IL,60602,41.882414,-87.629156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,1726,60602,,,,,master only (1)
Adrian College,Adrian,MI,49221-2575,41.898591,-84.061481,0.6121,515,509,22,21,22,NULL,1043,1749,NULL,NULL,NULL,NULL,NULL,22070,22406,23512,25583,28367,54621,0.5391,27000,11500,12750,15750,0.4221105528,PrivacySuppressed,78517.224121,66915.1,40392,77,49221,1.5939,1.25731,1.69809,1.29861,matched (3)
AdventHealth University,Orlando,FL,32803,28.576142,-81.367687,0.9087,560,515,23,24,22,NULL,1089,1129,NULL,NULL,NULL,NULL,NULL,24641,24663,27887,27911,28569,33648,0.3521,25034,19000,19935,14500,0.8251057828,0.2031029619,44113.008463,60028.37,55486,553,32803,1.47381,,1.54159,,matched (3)
