School,Zip Code,City,State,Admissions Rate,Median ACT,Average SAT,# of Undergrads,Graduation Rate, Median Debt After Graduation , Median Salary (2-years post-graduation) ,Economic Connectedness
A T Still University of Health Sciences,63501,Kirksville,MO,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Abilene Christian University,79699,Abilene,TX,63.40%,24,1150,3480,65.98%," $24,000.00 "," $41,565.00 ",87.86%
Abraham Baldwin Agricultural College,31793-2601,Tifton,GA,75.99%,19,1000,3546,29.15%," $17,500.00 "," $27,009.00 ",49.30%
Academy for Five Element Acupuncture,32601,Gainesville,FL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Academy for Jewish Religion-California,90024,Los Angeles,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Academy of Chinese Culture and Health Sciences,94612,Oakland,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Academy of Vocal Arts,19103-6685,Philadelphia,PA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Acupuncture and Integrative Medicine College-Berkeley,94704,Berkeley,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Adams State University,81101,Alamosa,CO,99.88%,20,1004,1612,32.14%," $21,500.00 "," $32,729.00 ",70.17%
Adelphi University,11530-0701,Garden City,NY,74.61%,24,1162,5076,72.58%," $25,000.00 "," $56,611.00 ",92.92%
Adler Graduate School,55343,Minnetonka,MN,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Adler University,60602,Chicago,IL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Adrian College,49221-2575,Adrian,MI,61.21%,22,1043,1749,53.91%," $27,000.00 "," $40,392.00 ",79.70%
AdventHealth University,32803,Orlando,FL,90.87%,23,1089,1129,35.21%," $25,034.00 "," $55,486.00 ",73.69%
Agnes Scott College,30030-3770,Decatur,GA,67.52%,Data Not Available,Data Not Available,980,72.44%," $26,737.00 "," $34,075.00 ",78.34%
Air Force Institute of Technology-Graduate School of Engineering & Management,45433-7765,Wright-Patterson AFB,OH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Alabama A & M University,35762,Normal,AL,89.65%,18,959,5090,28.66%," $31,000.00 "," $28,704.00 ",42.84%
Alabama College of Osteopathic Medicine,36303-2251,Dothan,AL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Alabama State University,36104-0271,Montgomery,AL,98.88%,17,938,3603,31.77%," $31,000.00 "," $25,949.00 ",38.96%
Alaska Bible College,99645,Palmer,AK,Data Not Available,Data Not Available,Data Not Available,36,62.50%, Data Not Available , Data Not Available ,Data Not Available
Alaska Pacific University,99508,Anchorage,AK,90.65%,Data Not Available,Data Not Available,298,55.56%," $22,272.00 "," $33,401.00 ",Data Not Available
Albany College of Pharmacy and Health Sciences,12208-3492,Albany,NY,75.19%,28,1238,683,74.65%," $27,000.00 "," $115,752.00 ",86.57%
Albany Law School,12208,Albany,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Albany Medical College,12208-3479,Albany,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Albany State University,31705,Albany,GA,73.02%,17,858,5839,26.05%," $26,487.00 "," $29,345.00 ",43.81%
Albert Einstein College of Medicine,10461-1900,Bronx,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Albertus Magnus College,06511-1189,New Haven,CT,81.26%,Data Not Available,Data Not Available,1076,49.04%," $30,836.00 "," $44,705.00 ",72.32%
Albion College,49224,Albion,MI,74.44%,23,1062,1497,67.70%," $27,000.00 "," $43,913.00 ",84.07%
Albizu University-Miami,33172-2209,Miami,FL,78.72%,Data Not Available,Data Not Available,144,50.00%," $5,500.00 "," $33,006.00 ",Data Not Available
Albizu University-San Juan,00902-3711,San Juan,PR,80.00%,Data Not Available,Data Not Available,652,Data Not Available," $5,500.00 "," $33,006.00 ",Data Not Available
Albright College,19612-5234,Reading,PA,82.10%,Data Not Available,Data Not Available,1530,59.81%," $27,000.00 "," $44,834.00 ",84.12%
Alcorn State University,39096-7500,Alcorn State,MS,37.72%,21,1035,2648,45.44%," $28,180.00 "," $27,087.00 ",35.21%
Alderson Broaddus University,26416-2035,Philippi,WV,52.76%,20,972,756,31.79%," $26,459.00 "," $37,025.00 ",76.93%
Alfred University,14802-1205,Alfred,NY,64.11%,24,1102,1572,60.74%," $26,000.00 "," $37,910.00 ",79.96%
Alice Lloyd College,41844,Pippa Passes,KY,21.15%,19,994,569,35.33%," $16,908.00 "," $28,625.00 ",63.66%
Allegheny College,16335-3902,Meadville,PA,73.15%,27,1260,1615,72.67%," $27,000.00 "," $43,345.00 ",83.85%
Allegheny Wesleyan College,44460-9598,Salem,OH,Data Not Available,Data Not Available,Data Not Available,56,41.67%, Data Not Available ," $22,281.00 ",Data Not Available
Allen College,50703-1999,Waterloo,IA,Data Not Available,Data Not Available,Data Not Available,374,Data Not Available," $18,750.00 "," $54,838.00 ",Data Not Available
Allen University,29204,Columbia,SC,64.58%,Data Not Available,Data Not Available,656,19.05%," $35,000.00 "," $22,158.00 ",37.34%
Alma College,48801-1599,Alma,MI,66.73%,Data Not Available,Data Not Available,1404,70.79%," $27,000.00 "," $40,539.00 ",82.85%
Alpena Community College,49707,Alpena,MI,Data Not Available,Data Not Available,Data Not Available,853,38.29%," $10,793.00 "," $28,713.00 ",49.12%
Alvernia University,19607-1799,Reading,PA,70.02%,Data Not Available,Data Not Available,2034,61.17%," $27,000.00 "," $45,052.00 ",83.74%
Alverno College,53234-3922,Milwaukee,WI,78.23%,Data Not Available,Data Not Available,1015,43.16%," $27,000.00 "," $42,918.00 ",75.42%
Amberton University,75041-5595,Garland,TX,Data Not Available,Data Not Available,Data Not Available,186,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
America Evangelical University,90247-4432,Gardena,CA,Data Not Available,Data Not Available,Data Not Available,65,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
American Academy of Art College,60604-4302,Chicago,IL,Data Not Available,Data Not Available,Data Not Available,169,57.97%," $27,000.00 "," $26,750.00 ",Data Not Available
American Baptist College,37207-9980,Nashville,TN,Data Not Available,Data Not Available,Data Not Available,55,63.64%," $43,000.00 ", Data Not Available ,Data Not Available
American College of Financial Services,19406,King of Prussia,PA,Data Not Available,Data Not Available,Data Not Available,5233,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
American College of the Building Arts,29403-4223,Charleston,SC,64.71%,24,1139,93,66.67%, Data Not Available , Data Not Available ,Data Not Available
American Conservatory Theater,94102,San Francisco,CA,Data Not Available,Data Not Available,Data Not Available,1,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
American Film Institute Conservatory,90027-1625,Los Angeles,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
American International College,1109,Springfield,MA,69.38%,26,1015,1355,43.75%," $27,000.00 "," $44,961.00 ",62.92%
American Jewish University,90077-1519,Los Angeles,CA,Data Not Available,Data Not Available,Data Not Available,37,33.33%, Data Not Available , Data Not Available ,Data Not Available
American Musical and Dramatic Academy,10023,New York,NY,44.41%,Data Not Available,Data Not Available,1395,71.00%," $12,000.00 "," $25,228.00 ",88.09%
American Samoa Community College,96799-2609,Pago Pago,AS,Data Not Available,Data Not Available,Data Not Available,1078,47.66%, Data Not Available ," $23,321.00 ",42.38%
American University,20016-8001,Washington,DC,38.65%,30,1328,7510,79.11%," $23,250.00 "," $55,945.00 ",93.47%
American University of Puerto Rico,00674-1082,Manati,PR,Data Not Available,Data Not Available,Data Not Available,343,20.22%," $5,200.00 "," $19,587.00 ",Data Not Available
American University of Puerto Rico,00960-2037,Bayamon,PR,Data Not Available,Data Not Available,Data Not Available,278,18.84%," $5,200.00 "," $19,587.00 ",Data Not Available
Amherst College,01002-5000,Amherst,MA,11.83%,34,1497,1745,94.67%," $13,800.00 "," $54,333.00 ",91.68%
Amridge University,36117-3553,Montgomery,AL,Data Not Available,Data Not Available,Data Not Available,298,25.00%," $31,417.00 "," $32,939.00 ",Data Not Available
Ana G. Mendez University,32822,Orlando,FL,Data Not Available,Data Not Available,Data Not Available,1257,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Anabaptist Mennonite Biblical Seminary,46517-1999,Elkhart,IN,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Anderson University,29621-4035,Anderson,SC,59.20%,Data Not Available,Data Not Available,2824,57.17%," $27,000.00 "," $34,089.00 ",80.42%
Anderson University,46012-3495,Anderson,IN,66.50%,22,1071,1198,64.04%," $27,000.00 "," $38,562.00 ",84.65%
Andrew College,39840-5550,Cuthbert,GA,58.64%,18,993,288,28.76%," $12,000.00 "," $30,436.00 ",45.22%
Andrews University,49104,Berrien Springs,MI,48.78%,25,1205,1381,60.70%," $26,076.00 "," $41,315.00 ",84.75%
Angelo State University,76909,San Angelo,TX,78.16%,20,1034,5674,42.82%," $19,809.00 "," $36,686.00 ",78.57%
Anna Maria College,01612-1198,Paxton,MA,86.07%,Data Not Available,Data Not Available,1126,49.70%," $25,000.00 "," $44,030.00 ",79.55%
Antelope Valley Community College District,93536-5426,Lancaster,CA,Data Not Available,Data Not Available,Data Not Available,10716,27.32%," $11,499.00 "," $27,265.00 ",Data Not Available
Antioch College,45387,Yellow Springs,OH,84.57%,23,1165,116,66.10%," $20,466.00 ", Data Not Available ,Data Not Available
Antioch University,45387,Yellow Springs,OH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available," $24,963.00 "," $40,748.00 ",Data Not Available
Antioch University Online,45387,Yellow Springs,OH,Data Not Available,Data Not Available,Data Not Available,170,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Antioch University-Los Angeles,90230-7615,Culver City,CA,Data Not Available,Data Not Available,Data Not Available,148,Data Not Available," $24,963.00 "," $40,748.00 ",Data Not Available
Antioch University-New England,3431,Keene,NH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available," $24,963.00 "," $40,748.00 ",Data Not Available
Antioch University-PhD Program in Leadership and Change,45387,Yellow Springs,OH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available," $24,963.00 "," $40,748.00 ",Data Not Available
Antioch University-Santa Barbara,93101,Santa Barbara,CA,Data Not Available,Data Not Available,Data Not Available,66,Data Not Available," $24,963.00 "," $40,748.00 ",Data Not Available
Antioch University-Seattle,98121-1814,Seattle,WA,Data Not Available,Data Not Available,Data Not Available,93,Data Not Available," $24,963.00 "," $40,748.00 ",Data Not Available
Appalachian Bible College,25880-9557,Mount Hope,WV,48.74%,20,1023,163,44.12%," $7,750.00 "," $27,366.00 ",Data Not Available
Appalachian College of Pharmacy,24631,Oakwood,VA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Appalachian School of Law,24614,Grundy,VA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Appalachian State University,28608,Boone,NC,79.51%,25,1181,17990,72.69%," $20,271.00 "," $38,958.00 ",74.70%
Aquinas College,49506-1801,Grand Rapids,MI,70.91%,23,1123,1253,64.59%," $24,250.00 "," $36,917.00 ",83.53%
Aquinas Institute of Theology,63108-3323,Saint Louis,MO,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Arcadia University,19038-3295,Glenside,PA,73.63%,24,1138,1832,65.38%," $27,000.00 "," $43,174.00 ",87.02%
Arizona Christian University,85306-3216,Glendale,AZ,71.47%,20,1031,883,43.79%," $21,500.00 "," $35,500.00 ",Data Not Available
Arizona State University Campus Immersion,85287,Tempe,AZ,88.37%,25,1207,62633,66.01%," $20,000.00 "," $46,621.00 ",80.04%
Arizona State University Digital Immersion,85257,Scottsdale,AZ,72.58%,Data Not Available,Data Not Available,40275,24.10%," $20,000.00 "," $46,621.00 ",Data Not Available
